compounds,name,maxFlux
cpd00001,H2O,100
cpd00002,ATP,100
cpd00003,NAD,100
cpd00004,NADH,100
cpd00006,NADP,100
cpd00007,O2,100
cpd00008,ADP,100
cpd00009,Phosphate,100
cpd00010,CoA,100
cpd00011,CO2,100
cpd00012,Pyrophosphate,100
cpd00013,Ammonium,100
cpd00015,FAD,100
cpd00017,S-Adenosyl-L-methionine,100
cpd00018,AMP,100
cpd00019,S-Adenosyl-homocysteine,100
cpd00020,Pyruvate,100
cpd00022,Acetyl-CoA,100
cpd00023,L-Glutamate,100
cpd00024,2-Oxoglutarate,100
cpd00025,Hydrogen peroxide,100
cpd00027,D-Glucose,100
cpd00028,Heme,100
cpd00029,Acetate,100
cpd00030,Mn2+,100
cpd00031,GDP,100
cpd00032,Oxaloacetate,100
cpd00033,Glycine,100
cpd00034,Zn2+,100
cpd00035,L-Alanine,100
cpd00036,Succinate,100
cpd00038,GTP,100
cpd00039,L-Lysine,100
cpd00040,Glyoxalate,100
cpd00041,L-Aspartate,100
cpd00042,GSH,100
cpd00045,Adenosine 3-5-bisphosphate,100
cpd00046,CMP,100
cpd00047,Formate,100
cpd00048,Sulfate,100
cpd00050,FMN,100
cpd00051,L-Arginine,100
cpd00052,CTP,100
cpd00053,L-Glutamine,100
cpd00054,L-Serine,100
cpd00055,Formaldehyde,100
cpd00056,TPP,100
cpd00058,Cu2+,100
cpd00059,L-Ascorbate,100
cpd00060,L-Methionine,100
cpd00061,Phosphoenolpyruvate,100
cpd00062,UTP,100
cpd00063,Ca2+,100
cpd00064,Ornithine,100
cpd00065,L-Tryptophan,100
cpd00066,L-Phenylalanine,100
cpd00067,H+,100
cpd00069,L-Tyrosine,100
cpd00071,Acetaldehyde,100
cpd00072,D-fructose-6-phosphate,100
cpd00073,Urea,100
cpd00074,S,100
cpd00075,Nitrite,100
cpd00076,Sucrose,100
cpd00079,D-glucose-6-phosphate,100
cpd00080,Glycerol-3-phosphate,100
cpd00081,Sulfite,100
cpd00082,D-Fructose,100
cpd00083,GDP-mannose,100
cpd00084,L-Cysteine,100
cpd00085,beta-Alanine,100
cpd00087,Tetrahydrofolate,100
cpd00089,Glucose-1-phosphate,100
cpd00091,UMP,100
cpd00092,Uracil,100
cpd00093,Anthranilate,100
cpd00094,2-Oxobutyrate,100
cpd00095,Glycerone-phosphate,100
cpd00096,CDP,100
cpd00098,Choline,100
cpd00099,Cl-,100
cpd00100,Glycerol,100
cpd00103,PRPP,100
cpd00104,Biotin,100
cpd00105,D-Ribose,100
cpd00106,Fumarate,100
cpd00107,L-Leucine,100
cpd00108,Galactose,100
cpd00109,Cytochrome c oxidized,100
cpd00110,Cytochrome c reduced,100
cpd00113,Isopentenyldiphosphate,100
cpd00115,dATP,100
cpd00116,Methanol,100
cpd00117,D-Alanine,100
cpd00118,Putrescine,100
cpd00119,L-Histidine,100
cpd00121,L-Inositol,100
cpd00122,N-Acetyl-D-glucosamine,100
cpd00123,3-Methyl-2-oxobutanoate,100
cpd00125,5-10-Methylenetetrahydrofolate,100
cpd00126,GMP,100
cpd00128,Adenine,100
cpd00129,L-Proline,100
cpd00130,L-Malate,100
cpd00132,L-Asparagine,100
cpd00133,Nicotinamide,100
cpd00134,Palmitoyl-CoA,100
cpd00135,Homocysteine,100
cpd00136,4-Hydroxybenzoate,100
cpd00137,Citrate,100
cpd00138,D-Mannose,100
cpd00139,Glycolate,100
cpd00141,Propionate,100
cpd00142,Acetoacetate,100
cpd00146,Carbamoylphosphate,100
cpd00147,5-Methylthioadenosine,100
cpd00149,Cobalt,100
cpd00150,Hydrogen cyanide,100
cpd00151,Thymine,100
cpd00152,Agmatine,100
cpd00153,Benzoate,100
cpd00154,Xylose,100
cpd00155,Glycogen,100
cpd00156,L-Valine,100
cpd00157,Glycerone,100
cpd00158,D-Cellobiose,100
cpd00159,L-Lactate,100
cpd00161,L-Threonine,100
cpd00162,Aminoethanol,100
cpd00164,Glucuronate,100
cpd00165,Hydroxylamine,100
cpd00166,Adenosylcobalamin,100
cpd00169,3-Phosphoglycerate,100
cpd00170,Gluconolactone,100
cpd00176,2-keto-3-deoxygluconate,100
cpd00177,dADP,100
cpd00178,Acetone,100
cpd00179,Maltose,100
cpd00180,Oxalate,100
cpd00182,Adenosine,100
cpd00184,Thymidine,100
cpd00185,D-Arabinose,100
cpd00186,D-Glutamate,100
cpd00187,Methanamine,100
cpd00197,Protocatechuate,100
